Tipo de Monitoramento:;CETESB;
Tipo de Rede:;Automática;
Tipo de Dado:;Primários;
Código da estação:;89;
Nome da estação:;Campinas-Centro;
;;
Data;Hora;Média Horária
;;MP10(Partículas Inaláveis) - µg/m3
18/01/2019;01:00;13
18/01/2019;02:00;37
18/01/2019;03:00;11
18/01/2019;04:00;5
18/01/2019;05:00;15
18/01/2019;06:00;25
18/01/2019;07:00;24
18/01/2019;08:00;30
18/01/2019;09:00;33
18/01/2019;10:00;29
18/01/2019;11:00;39
18/01/2019;12:00;16
18/01/2019;13:00;45
18/01/2019;14:00;27
18/01/2019;15:00;25
18/01/2019;16:00;30
18/01/2019;17:00;26
18/01/2019;18:00;9
18/01/2019;19:00;10
18/01/2019;20:00;0
18/01/2019;21:00;12
18/01/2019;22:00;31
18/01/2019;23:00;24
18/01/2019;24:00:00;30
19/01/2019;01:00;45
19/01/2019;02:00;44
19/01/2019;03:00;24
19/01/2019;04:00;8
19/01/2019;05:00;8
19/01/2019;06:00;62
19/01/2019;07:00;12
19/01/2019;08:00;26
19/01/2019;09:00;27
19/01/2019;10:00;28
19/01/2019;11:00;28
19/01/2019;12:00;3
19/01/2019;13:00;30
19/01/2019;14:00;29
19/01/2019;15:00;51
19/01/2019;16:00;31
19/01/2019;17:00;27
19/01/2019;18:00;2
19/01/2019;19:00;16
19/01/2019;20:00;18
19/01/2019;21:00;6
19/01/2019;22:00;18
19/01/2019;23:00;12
19/01/2019;24:00:00;21
20/01/2019;01:00;22
20/01/2019;02:00;40
20/01/2019;03:00;26
20/01/2019;04:00;19
20/01/2019;05:00;11
20/01/2019;06:00;9
20/01/2019;07:00;22
20/01/2019;08:00;25
20/01/2019;09:00;19
20/01/2019;10:00;18
20/01/2019;11:00;20
20/01/2019;12:00;14
20/01/2019;13:00;32
20/01/2019;14:00;36
20/01/2019;15:00;37
20/01/2019;16:00;18
20/01/2019;17:00;14
20/01/2019;18:00;0
20/01/2019;19:00;34
20/01/2019;20:00;17
20/01/2019;21:00;21
20/01/2019;22:00;26
20/01/2019;23:00;2
20/01/2019;24:00:00;10
21/01/2019;01:00;
21/01/2019;02:00;
21/01/2019;03:00;25
21/01/2019;04:00;13
21/01/2019;05:00;11
21/01/2019;06:00;8
21/01/2019;07:00;10
21/01/2019;08:00;21
21/01/2019;09:00;34
21/01/2019;10:00;36
21/01/2019;11:00;38
21/01/2019;12:00;24
21/01/2019;13:00;20
21/01/2019;14:00;44
21/01/2019;15:00;33
21/01/2019;16:00;43
21/01/2019;17:00;16
21/01/2019;18:00;24
21/01/2019;19:00;32
21/01/2019;20:00;5
21/01/2019;21:00;6
21/01/2019;22:00;13
21/01/2019;23:00;12
21/01/2019;24:00:00;8
22/01/2019;01:00;17
22/01/2019;02:00;35
22/01/2019;03:00;13
22/01/2019;04:00;13
22/01/2019;05:00;5
22/01/2019;06:00;11
22/01/2019;07:00;8
22/01/2019;08:00;15
22/01/2019;09:00;25
22/01/2019;10:00;33
22/01/2019;11:00;41
22/01/2019;12:00;14
22/01/2019;13:00;53
22/01/2019;14:00;27
22/01/2019;15:00;29
22/01/2019;16:00;30
22/01/2019;17:00;19
22/01/2019;18:00;4
22/01/2019;19:00;9
22/01/2019;20:00;30
22/01/2019;21:00;15
22/01/2019;22:00;30
22/01/2019;23:00;21
22/01/2019;24:00:00;21
23/01/2019;01:00;20
23/01/2019;02:00;35
23/01/2019;03:00;13
23/01/2019;04:00;18
23/01/2019;05:00;26
23/01/2019;06:00;12
23/01/2019;07:00;26
23/01/2019;08:00;21
23/01/2019;09:00;27
23/01/2019;10:00;28
23/01/2019;11:00;39
23/01/2019;12:00;29
23/01/2019;13:00;18
23/01/2019;14:00;23
23/01/2019;15:00;30
23/01/2019;16:00;45
23/01/2019;17:00;39
23/01/2019;18:00;22
23/01/2019;19:00;2
23/01/2019;20:00;16
23/01/2019;21:00;58
23/01/2019;22:00;39
23/01/2019;23:00;11
23/01/2019;24:00:00;20
24/01/2019;01:00;
24/01/2019;02:00;
24/01/2019;03:00;19
24/01/2019;04:00;10
24/01/2019;05:00;1
24/01/2019;06:00;13
24/01/2019;07:00;28
24/01/2019;08:00;28
24/01/2019;09:00;16
24/01/2019;10:00;27
24/01/2019;11:00;25
24/01/2019;12:00;43
24/01/2019;13:00;22
24/01/2019;14:00;25
24/01/2019;15:00;27
24/01/2019;16:00;27
24/01/2019;17:00;12
24/01/2019;18:00;16
24/01/2019;19:00;5
24/01/2019;20:00;3
24/01/2019;21:00;24
24/01/2019;22:00;42
24/01/2019;23:00;25
24/01/2019;24:00:00;43
25/01/2019;01:00;
25/01/2019;02:00;
