Tipo de Monitoramento:;CETESB
Tipo de Rede:;Automática
Tipo de Dado:;Primários
Código da estação:;276
Nome da estação:;Campinas-Taquaral

Data;Hora;Média Horária
;;MP10(Partículas Inaláveis) - µg/m3
01/01/2016;01:00;10
01/01/2016;02:00;19
01/01/2016;03:00;11
01/01/2016;04:00;8
01/01/2016;05:00;12
01/01/2016;06:00;9
01/01/2016;07:00;12
01/01/2016;08:00;7
01/01/2016;09:00;8
01/01/2016;10:00;7
01/01/2016;11:00;15
01/01/2016;12:00;19
01/01/2016;13:00;12
01/01/2016;14:00;13
01/01/2016;15:00;6
01/01/2016;16:00;20
01/01/2016;17:00;23
01/01/2016;18:00;1
01/01/2016;19:00;6
01/01/2016;20:00;13
01/01/2016;21:00;15
01/01/2016;22:00;15
01/01/2016;23:00;9
01/01/2016;24:00;10
02/01/2016;01:00;10
02/01/2016;02:00;14
02/01/2016;03:00;8
02/01/2016;04:00;9
02/01/2016;05:00;5
02/01/2016;06:00;13
02/01/2016;07:00;11
02/01/2016;08:00;4
02/01/2016;09:00;5
02/01/2016;10:00;0
02/01/2016;11:00;6
02/01/2016;12:00;11
02/01/2016;13:00;6
02/01/2016;14:00;20
02/01/2016;15:00;4
02/01/2016;16:00;13
02/01/2016;17:00;15
02/01/2016;18:00;10
02/01/2016;19:00;3
02/01/2016;20:00;7
02/01/2016;21:00;9
02/01/2016;22:00;6
02/01/2016;23:00;7
02/01/2016;24:00;5
03/01/2016;01:00;7
03/01/2016;02:00;10
03/01/2016;03:00;4
03/01/2016;04:00;4
03/01/2016;05:00;2
03/01/2016;06:00;4
03/01/2016;07:00;7
03/01/2016;08:00;6
03/01/2016;09:00;3
03/01/2016;10:00;7
03/01/2016;11:00;6
03/01/2016;12:00;11
03/01/2016;13:00;9
03/01/2016;14:00;6
03/01/2016;15:00;8
03/01/2016;16:00;6
03/01/2016;17:00;8
03/01/2016;18:00;9
03/01/2016;19:00;10
03/01/2016;20:00;7
03/01/2016;21:00;6
03/01/2016;22:00;1
03/01/2016;23:00;5
03/01/2016;24:00;6
04/01/2016;01:00;0
04/01/2016;02:00;4
04/01/2016;03:00;6
04/01/2016;04:00;5
04/01/2016;05:00;5
04/01/2016;06:00;6
04/01/2016;07:00;8
04/01/2016;08:00;10
04/01/2016;09:00;6
04/01/2016;10:00;9
04/01/2016;11:00;3
04/01/2016;12:00;11
04/01/2016;13:00;10
04/01/2016;14:00;5
04/01/2016;15:00;11
04/01/2016;16:00;10
04/01/2016;17:00;12
04/01/2016;18:00;14
04/01/2016;19:00;17
04/01/2016;20:00;21
04/01/2016;21:00;17
04/01/2016;22:00;14
04/01/2016;23:00;12
